instancia,gama,delta,FunObj,NR,ND,dist,gap,status,tempo,NV,Q,nK,nE
C101.txt,0,15,9.5626,8,15,626.03,0.0,OPTIMAL,0.62,4743,80,15,20
C101.txt,0,20,9.5626,8,15,626.03,0.0,OPTIMAL,0.62,4743,80,15,20
C101.txt,0,30,9.5626,8,15,626.03,0.0,OPTIMAL,0.64,4743,80,15,20
C101.txt,1,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.06,4743,80,15,20
C101.txt,1,20,9.5626,8,15,626.03,0.0,OPTIMAL,0.69,4743,80,15,20
C101.txt,1,30,9.5626,8,15,626.03,0.0,OPTIMAL,0.79,4743,80,15,20
C101.txt,2,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.36,4743,80,15,20
C101.txt,2,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.03,4743,80,15,20
C101.txt,2,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.09,4743,80,15,20
C101.txt,3,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.22,4743,80,15,20
C101.txt,3,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.14,4743,80,15,20
C101.txt,3,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.26,4743,80,15,20
C101.txt,4,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.19,4743,80,15,20
C101.txt,4,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.15,4743,80,15,20
C101.txt,4,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.25,4743,80,15,20
C101.txt,5,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.19,4743,80,15,20
C101.txt,5,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.04,4743,80,15,20
C101.txt,5,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.46,4743,80,15,20
C101.txt,6,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.24,4743,80,15,20
C101.txt,6,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.45,4743,80,15,20
C101.txt,6,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.04,4743,80,15,20
C101.txt,7,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.12,4743,80,15,20
C101.txt,7,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.24,4743,80,15,20
C101.txt,7,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.08,4743,80,15,20
C101.txt,8,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.5,4743,80,15,20
C101.txt,8,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.23,4743,80,15,20
C101.txt,8,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.22,4743,80,15,20
C101.txt,9,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.25,4743,80,15,20
C101.txt,9,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.12,4743,80,15,20
C101.txt,9,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.13,4743,80,15,20
C101.txt,10,15,9.5626,8,15,626.03,0.0,OPTIMAL,1.49,4743,80,15,20
C101.txt,10,20,9.5626,8,15,626.03,0.0,OPTIMAL,1.14,4743,80,15,20
C101.txt,10,30,9.5626,8,15,626.03,0.0,OPTIMAL,1.43,4743,80,15,20
